# sample_index adc_code aperture_ns
929 2032 929000000
930 2032 930000000
931 2032 931000000
932 2031 932000000
933 2031 933000000
934 2031 934000000
935 2031 935000000
936 2031 936000000
937 2030 937000000
938 2030 938000000
939 2029 939000000
940 2029 940000000
941 2029 941000000
942 2028 942000000
943 2026 943000000
944 2026 944000000
945 2026 945000000
946 2027 946000000
947 2027 947000000
948 2028 948000000
949 2027 949000000
950 2027 950000000
951 2029 951000000
952 2031 952000000
953 2032 953000000
954 2031 954000000
955 2031 955000000
956 2031 956000000
957 2031 957000000
958 2031 958000000
959 2032 959000000
960 2033 960000000
961 2033 961000000
962 2032 962000000
963 2031 963000000
964 2030 964000000
965 2030 965000000
966 2029 966000000
967 2030 967000000
968 2031 968000000
969 2031 969000000
970 2032 970000000
971 2032 971000000
972 2032 972000000
973 2032 973000000
974 2032 974000000
975 2032 975000000
976 2032 976000000
977 2032 977000000
978 2033 978000000
979 2031 979000000
980 2030 980000000
981 2030 981000000
982 2029 982000000
983 2029 983000000
984 2029 984000000
985 2029 985000000
986 2028 986000000
987 2025 987000000
988 2023 988000000
989 2021 989000000
990 2016 990000000
991 2013 991000000
992 2011 992000000
993 2008 993000000
994 2008 994000000
995 2006 995000000
996 2004 996000000
997 2003 997000000
998 2000 998000000
999 1995 999000000
1000 1995 1000000000
1001 1991 1001000000
1002 1989 1002000000
1003 1988 1003000000
1004 1990 1004000000
1005 1991 1005000000
1006 1997 1006000000
1007 2006 1007000000
1008 2008 1008000000
1009 2021 1009000000
1010 2027 1010000000
1011 2032 1011000000
1012 2048 1012000000
1013 2063 1013000000
1014 2069 1014000000
1015 2091 1015000000
1016 2098 1016000000
1017 2119 1017000000
1018 2144 1018000000
1019 2159 1019000000
1020 2187 1020000000
1021 2206 1021000000
1022 2218 1022000000
1023 2251 1023000000
1024 2267 1024000000
1025 2273 1025000000
1026 2301 1026000000
1027 2309 1027000000
1028 2319 1028000000
1029 2326 1029000000
1030 2332 1030000000
1031 2340 1031000000
1032 2339 1032000000
1033 2339 1033000000
1034 2324 1034000000
1035 2316 1035000000
1036 2311 1036000000
1037 2276 1037000000
1038 2261 1038000000
1039 2241 1039000000
1040 2193 1040000000
1041 2180 1041000000
1042 2156 1042000000
1043 2115 1043000000
1044 2104 1044000000
1045 2085 1045000000
1046 2064 1046000000
1047 2054 1047000000
1048 2030 1048000000
1049 2020 1049000000
1050 2012 1050000000
1051 1999 1051000000
1052 1993 1052000000
1053 1989 1053000000
1054 1985 1054000000
1055 1984 1055000000
1056 1985 1056000000
1057 1987 1057000000
1058 1987 1058000000
1059 1993 1059000000
1060 1995 1060000000
1061 1998 1061000000
1062 2001 1062000000
1063 2003 1063000000
1064 2005 1064000000
1065 2005 1065000000
1066 2005 1066000000
1067 2005 1067000000
1068 2005 1068000000
1069 2007 1069000000
1070 2008 1070000000
1071 2008 1071000000
1072 2008 1072000000
1073 2010 1073000000
1074 2011 1074000000
1075 2011 1075000000
1076 2012 1076000000
1077 2012 1077000000
1078 2012 1078000000
1079 2011 1079000000
1080 2011 1080000000
1081 2010 1081000000
1082 2009 1082000000
1083 2008 1083000000
1084 2008 1084000000
1085 2009 1085000000
1086 2010 1086000000
1087 2010 1087000000
1088 2010 1088000000
1089 2011 1089000000
1090 2011 1090000000
1091 2011 1091000000
1092 2012 1092000000
1093 2013 1093000000
1094 2014 1094000000
1095 2013 1095000000
1096 2011 1096000000
1097 2010 1097000000
1098 2009 1098000000
1099 2008 1099000000
1100 2007 1100000000
1101 2007 1101000000
1102 2007 1102000000
1103 2008 1103000000
1104 2008 1104000000
1105 2009 1105000000
1106 2009 1106000000
1107 2009 1107000000
1108 2009 1108000000
1109 2010 1109000000
1110 2010 1110000000
1111 2010 1111000000
1112 2010 1112000000
1113 2009 1113000000
1114 2009 1114000000
1115 2011 1115000000
1116 2012 1116000000
1117 2013 1117000000
1118 2014 1118000000
1119 2015 1119000000
1120 2015 1120000000
1121 2016 1121000000
1122 2016 1122000000
1123 2015 1123000000
1124 2014 1124000000
1125 2013 1125000000
